current_itr_train_time	current_itr_train_loss_mean	current_itr_train_loss_std	current_itr_eval_5000_return_mean	current_itr_eval_5000_return_std	current_itr_eval_5000_length_mean	current_itr_eval_5000_length_std	current_itr_eval_2500_return_mean	current_itr_eval_2500_return_std	current_itr_eval_2500_length_mean	current_itr_eval_2500_length_std	TestEpRet	TestEpNormRet	Iteration	Steps	total_time	current_eval_time
1361.4136924743652	0.17196098331585527	0.2557565062245527	871.8900913347921	48.82855811058539	346.8	19.95394697797907	952.7820830903822	66.41012501462862	365.9	20.515603817582363	871.8900913347921	18.957165191131434	1	5000	1388.3809065818787	26.966163873672485
1367.6937386989594	0.04954803980216384	0.005464484078772145	3712.3836434149903	602.3054637131527	933.9	139.20520823589897	3965.373943227621	90.48556554351518	1000.0	0.0	3712.3836434149903	80.83251101814072	2	10000	2829.6853544712067	73.49752044677734
1367.8297390937805	0.04258152417466044	0.0036196909353580146	4963.031153477477	63.5290017372719	1000.0	0.0	4670.946996844642	754.660019849789	959.1	122.7	4963.031153477477	108.0757508896529	3	15000	4272.1360120773315	74.51008152961731
1367.438993692398	0.039886143771559	0.003165273199283841	4982.267201797772	9.73078146121687	1000.0	0.0	4593.275881935284	928.361999423331	942.0	162.98220761788693	4982.267201797772	108.49477565430749	4	20000	5713.621192932129	73.86587285995483
1366.9082570075989	0.03847266922518611	0.002956226004294992	5004.522937016945	22.132258383609706	1000.0	0.0	4540.159355326346	862.8674271636143	933.3	141.497738497829	5004.522937016945	108.97957918864827	5	25000	7154.243665218353	73.54433584213257
1374.0089602470398	0.03740965657308698	0.002852966504135584	4956.322029311362	43.38163973430617	1000.0	0.0	4922.342735070886	37.065416182869654	1000.0	0.0	4956.322029311362	107.92960397174465	6	30000	8605.300124406815	76.92137718200684
1370.9433772563934	0.036755581818521024	0.0027310063635160413	4963.499054757516	32.93808366166046	1000.0	0.0	4522.403801028895	1053.972587730724	936.8	189.6	4963.499054757516	108.08594332733475	7	35000	10050.02353644371	73.65203428268433
1367.7418322563171	0.03614849708974362	0.002569760428560533	4931.223997280208	13.732528051793656	1000.0	0.0	4897.777300863566	18.704728067992598	1000.0	0.0	4931.223997280208	107.3828858106111	8	40000	11493.762201070786	75.8773250579834
1377.360966205597	0.03578778477758169	0.0026286335780966947	4522.6267455891375	844.4312690888878	925.5	149.04848204527278	4680.119741936253	586.3503050095106	964.2	107.39999999999999	4522.6267455891375	98.48228604201259	9	45000	12949.0990152359	77.85500907897949
1434.098103761673	0.035388129605352876	0.0025538452316370866	4899.974779941245	324.73987254614343	1000.0	0.0	2527.493261472485	1225.8929940590883	630.5	273.8098792958355	4899.974779941245	106.70217448554729	10	50000	14450.364856481552	67.04317331314087
1430.568601846695	0.035018970858305694	0.0024600712860881266	4981.508463192221	15.132583288508673	1000.0	0.0	4821.962418653715	346.8954076999784	1000.0	0.0	4981.508463192221	108.4782478175953	11	55000	15957.137053489685	76.09483599662781
1366.5976738929749	0.03482234442606568	0.002426253605492342	4982.148174488363	20.16048794947631	1000.0	0.0	4524.893700621805	1187.7074207993967	924.9	225.3	4982.148174488363	108.49218284576999	12	60000	17397.25324320793	73.41223430633545
1365.352604150772	0.03457682626619935	0.0024121420614843414	4653.715879582535	836.50033364012	955.8	132.6	4157.657835266191	846.7990706616879	952.2	143.4	4653.715879582535	101.33784101909204	13	65000	18835.293843269348	72.573237657547
1364.0757443904877	0.03441327830255032	0.002425217447399894	4972.151104810105	27.607124382800343	1000.0	0.0	4937.31365660277	38.4103170449601	1000.0	0.0	4972.151104810105	108.27441359818766	14	70000	20275.589869499207	76.10953521728516
1363.9459540843964	0.03414095128662884	0.0023583976118297773	4965.040101519022	35.248814067116285	1000.0	0.0	4952.056253717547	29.83534468284156	1000.0	0.0	4965.040101519022	108.11951242353422	15	75000	21715.8612909317	76.21584343910217
1365.5753569602966	0.0340088474240154	0.002315741719496159	4954.102788305699	21.547457524375684	1000.0	0.0	4938.311179654675	33.59793596288304	1000.0	0.0	4954.102788305699	107.88126156146235	16	80000	23157.71194243431	76.1421959400177
1363.4605860710144	0.0338656666405499	0.0023420516037812498	4959.257043070491	43.59732560488205	1000.0	0.0	3328.1534305152077	910.1865102238113	855.8	187.70764502278539	4959.257043070491	107.99353828035103	17	85000	24591.936951875687	70.67029404640198
1361.117696762085	0.0336726496335119	0.0022886650692228953	4959.316371409226	25.091711695583022	1000.0	0.0	4767.402356994021	328.1492597036188	1000.0	0.0	4959.316371409226	107.99483064782495	18	90000	26028.74782204628	75.57877135276794
1332.567417383194	0.03364303037896752	0.002284686329757745	4964.876623924495	49.399294046458124	1000.0	0.0	4963.133994200392	30.590352658870078	1000.0	0.0	4964.876623924495	108.11595134074672	19	95000	27432.687945842743	71.18424916267395
1310.4210584163666	0.033499954989179966	0.002296890654183222	4939.131198388529	59.62963012803504	1000.0	0.0	4706.971785512407	650.449027314906	962.7	111.9	4939.131198388529	107.55513080752115	20	100000	28812.942187309265	69.69582509994507
